Voter ID;Jan Sedláček (stud PrF MU);David Vyhlídal (stud PrF MU);Šárka Vyskočilová (stud PrF MU);Kryštof Zika (stud PrF MU);Kateřina Audyová (stud PrF MU);Matyáš Ličeník (stud PrF MU);Barbora Bulánková (stud PrF MU);Lucie Králová (stud PrF MU);Tomáš Neugebauer (stud PrF MU);Martin Plášek (stud PrF MU);Karolína Šandorová (stud PrF MU);Jan Zubík (stud PrF MU);Roman Karchut (stud PrF MU);Nevenka Petříčková (stud PrF MU);Martin Zigmund (stud PrF MU, ESF MU);Tereza Vodičková (stud PrF MU);Robin Kašpar (stud PrF MU);Boris Šabík (stud PrF MU);Adam Jelínek (stud PrF MU);Adam Jasiok (stud PrF MU);Jan Dzuba (stud PrF MU);Jakub Nováček (stud PrF MU);Jan Schraml (stud PrF MU);Dominik Kalouda (stud PrF MU);Albert Jilg (stud PrF MU);Vítek Souchop (stud PrF MU);Kristýna Bohlová (stud PrF MU);Tomáš Pospíšil (stud PrF MU)
moofc58pu8;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
mpd0j9ni34;;;;;X;;;;;;X;;;X;;;;;X;;;;;;;;;
mquzm5fib8;;;X;;;X;;;;;;X;;X;;X;X;;X;;;;;;;X;;
mvieu2ug71;;;;;;;;;X;;;;;X;X;;;;;;;;;;;X;;
mw2oh29939;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
mxb2d5d070;;;;;;;;;X;;;;;;X;;X;;;;;;;;;;X;
mxu70s40af;;;;X;;;;;;;;;;;;;;;;X;X;;;;;;;
mzj6dgxhr5;;;;X;X;;;;;;;;;X;;;;;;;;X;;;;;;
m2c5phr97t;;;X;;;;X;X;;X;;;;X;;X;X;;;;;;;;;;X;
m4pzacegkg;X;;;;;;;;;X;X;;;;;;;X;;;;;;;;;;
m4wvs5ji2a;;;;;;;;;;;X;X;X;;;;;;;;;;;;;;;
m5aulgzhpl;X;;;X;;;;;;;;X;;;;;;;;;;;X;;X;X;;
m7n8gm7wly;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;
nartkximdt;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;
nbs4co8h1e;X;X;;X;;X;X;X;;X;;;;;;;;;;;;;;;;X;;
ndluih8dwf;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;
ngxuiktikx;X;;;;;X;;;;;;;;;;;;;;;;X;X;;X;;;X
nis0rv6yh7;X;;;;;X;;;;;;;;;;;;;;;;;X;;X;;;X
nkf8imfpuu;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;
nnwl0anvbo;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;
no6uc3cfo4;;;;;;;;;;;X;;;X;;X;;;;;;;;;;;;
npvilvrlss;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
nscofdovx6;;;;X;;;;;;;;;;;X;;;;;;;;;X;;X;;
nskpjcxi8e;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
ntixysoj59;;;;X;X;;X;;;X;;;;;;;;;;;;;;;;;;
nyji080501;X;;;;;X;;;;;;;;;;;;;;;;;;;X;;;X
n0s0mrsfzx;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
n0xw2jegiv;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;
n1ashdtzdg;;;;X;X;;X;;;;X;;;X;;;;;;;;;;;;;X;
n146lq21k0;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
n2pzmoa4ah;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
n211gsxmhw;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
n3fc7p9akz;;;;X;;;;X;X;;;;;;;;;;;;;;;;;;;
n3imkbsljt;;;;;;;;;;;;;;X;X;;;;X;X;;X;X;X;;X;;
n5qy0703sq;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;
n7zjnpmlle;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;
n73zi4zi2y;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
n8yk45jauc;;;;;;;;;;;;;;;;;;;;;;;;X;X;;X;
n84qk1zcvu;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
oax4eryoti;X;;;;;;;;;X;;;;X;X;X;;;X;X;;;;;X;;;
obxgze8fls;;X;;;;;;;;;;;;;;X;X;;X;;;X;X;X;;;X;
odc6qo8ph3;;X;;;;;;;X;;;;;;;;;;;;;;;;;;;
odgipaam7j;;;;X;;X;;;;;;;;X;;;;;;;;;;;;;;
oeqnk9wnfj;;X;;;;;;;;;;X;;;X;X;X;;X;;X;;;;;X;;
oeup71qq6k;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;X
of7lyzf39x;;;;;;;;;;;X;;;X;;;X;;;X;;;;;X;;;
ogspsdfxnv;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
oibs21we3q;;;;;;;;;;;;;;;X;;;;;X;;;X;;;;;
oi2fh5spdx;X;X;;;;X;;;;;;;;;;;;;;;;;X;;X;;;X
oj12vuimwy;;X;;;;X;;;;;;;;X;;;;;;;;;;;X;;;X
ok3k7z3u8z;;;X;;X;;X;;;;X;;;X;;;;;;;;;;;;;;
olxzqsmsg5;;;;X;;;;;;X;;;;X;;;;;;;;X;;;;X;X;
omcbh2glrg;;;X;;;;;;;;X;;;;X;;;;;;;;;;;X;;
orbor1dzvf;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;
or3ya0xu5l;;;;;;X;;;;;X;;;X;;;X;;X;;;;;X;X;;;X
osthbfb74y;;;;X;;;;;X;;X;;;X;X;X;;;;;;;;;;;X;X
ouczuowwk3;;;;X;;;;;;;X;;X;;X;;;X;;;;;;X;;;X;
ovudtcgm98;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
ovv3d87nyc;X;;;X;;;;;;;;;;;;;;X;;;;;;;;;;X
ox35myweah;;;;;;;;;;;X;;;X;;X;;;;;;;;;;;;
o1bhg4683w;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
o3ff1ok3vj;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
o5olwukrzf;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
o6snyw8x7t;X;;;X;;;;;X;X;;X;;;;;;;;;;X;;;X;;;
o6tspp6lzc;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
o6vp5zbhju;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
paj0th3y8b;X;;;;;;;;;X;X;;;;;;;;;;;;;;;;;
pb0zm55fl0;;;;X;X;;;;X;;X;;;;;;;;;;;;;;;;X;
pb76jot008;X;;;;;;;;;;X;;;X;;X;;;;;;;;;;;;
pcbbv1mt16;X;;X;;;;;;X;;;;;X;X;;;;;X;;;X;;X;;;
pc27o6910f;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
pfm18fmus2;;;;;;;;X;;;;X;;X;;;;;X;;;;X;;X;X;X;
pis2ss97mb;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
pnox4gfe8p;;;;X;;;;;;;;;;;;;;;;;;;;X;;X;;
pnzoazenxp;X;;;X;;X;;;X;;;;;;;;;;;;;;X;X;X;;;
poj7yqi3vx;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
ppgl45mqqv;;;;X;X;X;;;;;;X;;;;;;;;;;;;;;;;
ppi490bsbx;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X
pqohvq7flh;;;;;;;;;;;;;;;;X;X;;X;X;X;X;X;;;;;X
pt4pefff1g;;;;;;;;;;;;;;;;;X;;;;;;;X;;;X;
pu92a8ak2e;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;
pvdcotl4q0;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
pwj5wu6k1t;X;;X;X;;;;;;;;;;;X;;;;;X;;;;;;;X;
py3efcwf2k;;;;X;X;;;;;;;;X;X;;X;;;;;;;;;;;;
pzvu3zl0az;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;
p0ywvovzhp;;;;X;;;X;;X;;;;;;;;;;;;;;;;;;X;
p6d27w98x3;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;
p7h201phzl;;;;;;;;;;;;;;;;;X;;;;X;;;X;;;X;
p71q1yvofm;;;;;;X;;;;;;;;X;X;;X;;;;;;;;;;;X
p8cm5yzlze;X;X;;;;;;;;;;;;X;;;;;;;;;;X;;;;
qcfxxndfea;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;
qc2kekvaxp;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X
qe4xaev5um;;;X;;;;X;;;;X;X;;X;X;;;;;;;;X;;;;X;
qflo79angr;;;;X;;;;;;;;;;;X;;;;;X;X;;;X;;;;
qgc2fxppql;;X;;;;X;;;X;;X;;;;;;;;;X;;;;;X;;;
qhhq42tbtx;;;;;;;;;X;;X;;;;;X;;;;;;;;;X;;;
qhmgud3ps1;X;;;;;;;;;;X;;;;;;;X;X;;;;;;;;;
qis5gynb4u;X;;;X;;;;;;;;;;;X;X;;;;X;;;;;;;;
qjt47uit9x;;;;X;;;;X;;;;;;;;X;;;;X;;X;X;;;;;
qkn2m2ysm6;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;
qoydl6k3rc;;;;;;;;;;;;;;X;;;X;;;;;X;;;;;X;
qo7w14ikgm;;;;;;X;;;;;;;;;;;X;;;;;;;X;X;;;X
qpxgtkkiq4;;;X;;;;X;;;;;;;X;;;;;;;;;;;;X;;
qrbvap1lft;;;;X;;;;;;;;;;;;;;;X;;;;X;;;;;
qu7nun6uml;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;
qvrqn9n9kh;;;;X;;;;;;;X;;;;;X;X;X;;;;;;;;;;
qxbfycydyh;;;;;;X;;;;;;;;X;X;;;;;;;;;;;;;X
qywqg1qfaz;X;;;X;;X;;;X;;;;;X;;X;X;;;;;;;X;;;;
q04bdxful4;;;;X;;;;;X;;X;;;;;X;X;;;;;X;X;;;;;X
q9jjuvifsz;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
q9l8d7c8tn;;;;X;;;X;;;X;X;;;;;;X;;;;;;;X;;X;;
q9prdh4ffu;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;
rbbjxjefcc;;;X;;X;;X;;;;X;;;;;;;;;;;;;;;;X;
rbtcm593m4;;X;;;;;;;;;;X;;X;;;;;;;;;;;X;;;
rephdei2jw;;;X;X;;;;;;;X;;;;;;;;;;X;;;;;;X;
rez7iz8dwi;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
rfdf52s6xq;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
rga8gsj3rb;X;;;;;;;;;X;;;;X;X;;;X;X;X;;;;;;X;;
rgi9wtx255;X;;X;;;;;;;;;;;;;;;;;;;;X;;X;;;
rgvjsrxk76;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;
rgz0gig6s4;;X;;;;X;;X;;;;;;X;;X;;;;X;;;;X;;;;
rg0o0shuxg;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;
ri33is5yuj;X;;;;;X;;;;;;;;;;;;;;;;;X;;X;;;
rjk0m0uru1;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;
rp759fgpiu;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
rqyy5g4rrl;X;;;;;;;;X;;;;;X;X;;;;;;;;;;;;;
ruybmlmapk;X;;;;;;;;;;X;X;;;;;X;;;;;;;;;;;
rvfdnt82hg;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;
rvxmq5cz05;;;;;;;;;;;X;;;X;X;;;X;;;;;;;;;X;
ry1pyyztqh;X;;X;;;X;;;;;X;;;;X;;;;;;;;X;;X;;;X
r10tmles9v;X;X;;X;;;;;X;X;;X;;;;;;;;;X;;;;;;;
r17rm8hto9;X;;;;;;;X;;;X;;;;;;;;;;;;;;;;;
r2h5dq4wmw;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
r3bd5f4z3c;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
r3yjmgkbsx;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
r4sm5nc8a5;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
r4x6qelg9w;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X
r5in1ysl4o;;;X;;;;X;;;;;;;X;;;;X;X;;;;;;;;;
r6al9a5bu3;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
r73tbgtppl;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;
r8e78ay6iv;;;;;X;;;;;;;X;X;X;;X;;;;;;;;;;;;
r89agma743;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
saol121ig4;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;
sd8fysblsa;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
sk27efqhjk;;;X;;X;;;;;;X;;;X;;X;X;;;;;;;;X;;X;
smq14rcq8r;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
sqbe31rhyg;;;;X;;;;;;;X;;;X;X;X;;;;;;X;;;;;;
sv5bharp73;X;;;;;;;;;X;X;;;;;X;X;;;X;;;;;;X;;
sx9qgrm9sj;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
s0gqt0vhrs;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
s0vectrhwv;X;;;;;;;;;;;;;;;;X;;X;;X;X;X;;X;;X;
s26s9kd68g;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;
s3ayqox2c6;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;
s3kb1m4drh;X;;;;;X;;;;;;;;;;;;;;;;;X;;X;;;X
s3x0ygh5wa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
s5ceqd4vxr;X;;X;X;;;X;;;;;;;X;;;;X;;;;;;X;;;X;
s5cnb2j7kg;;;;;;;X;;;;;;;X;X;;;;;;;;;;;;;
s5862i2jaw;X;;X;X;;;;;;;;;;X;;;X;;;;;;;;;;X;
s7yupqpmay;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
s7y0g6ewna;;;;;;;;;;;X;;;X;X;;;X;;;;;;;;;;
s8gb5bcoxg;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;
tay3emkwmp;;;X;;;;;;;;;;;X;;X;;;;;X;;;;X;;;
taz1t8f2ev;;;;;;;X;;;;;;;X;;;;X;;;;;;;;;;
td2qo7jepw;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
tfljf6qqyt;X;;;;;;;;;;X;;;X;X;X;;;;X;X;;;;;;;
tg8smij4wg;;;;;;;;;X;;;;;;;;;;;;;;;;;;;
ti3dvc9hv3;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;
tknswivw8i;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
tksoeqeda6;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;
tm3ruqnfea;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;
trx6ko54tv;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;
tvpxvppjaa;;;;X;;;;;;;;;X;;X;;;;;;;;;;;;;
tz8jvoyxgl;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
t2jh3ijxfh;;;;;;X;;X;X;X;X;;;;;;X;;;;;;;;;;X;X
t4mhhky2b5;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
t5mnkpkhl7;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;X
t7z4hm0j5f;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
t9eig808nk;;;;;;;;X;;;X;;;;;;;;;;;;;;;X;;
uap5112n2u;;;;;;X;;;;;X;;;;;;X;;;;;;;;;;;
ub5s766ywz;;X;X;;X;;;;X;;;;;;;X;;;;;;;;;;;;X
uksysqdeih;;;X;;;;;;;;;;;;X;;;;;;;;;X;X;X;;
ulslgyfgrb;;;X;;X;;X;;;;X;X;;X;;;;;;;;;;X;;;X;
ulyl6xnfg0;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;
urf3dpn3yt;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
urq5vdthji;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
ur8d3c2g8n;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;
uso4lu7c51;X;;;X;;;;;X;;;;;;;X;X;;;;;X;;;;X;X;
utngdlkehw;;;X;;X;;X;X;;;;;;X;;X;;;;;;;;X;;;X;
utvbwjk2vo;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
uul1pyusuj;;;;;;;;;;;;;;;;;;;;;;;;;;;;
uvjrbaupsq;;;;;;;;;;;;;;X;;X;;;;;;;;X;X;X;;
uw037xpwuo;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
ux4fzzjqkc;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
ux5hv7m4xp;X;;;;;X;;;;;;;;;;;;;;;;;X;;X;;;X
uyu2oxafs9;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
u1k48mbrnw;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
u3xykwivus;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;
u361rmm0mf;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
u4pdak5qtk;X;;;;;;;;;;X;X;;X;;;;;;;;;;;;;;
u6wqzhojdt;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
u79i9kvuy9;;X;X;;;;X;;;;;X;X;X;;;;;;;;;;;;X;;X
u8p1ta98og;;;;;;;;;;;;;;X;X;;;;;;;;;;;X;;
vd4ndxht38;;;;;;;;;;X;;;;;;;X;;;;;;;X;;;;
vkgi07hhh2;X;;;X;;X;;;;;X;;X;;X;X;;;;;;;;;;X;;
vkwmqr9ld2;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
vkzl4xzr3e;X;;;;;;;;;;;X;X;;;;;;;;;;;;;;;
vk3rn120eb;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;
vlcj8vnbx4;;X;;;;;;;;;X;;;;X;;;;;;;;;X;;;;
vldlc17vgz;;;;;;;;;X;;;;;;;;;;;;;;;;;;;
vlfwzg800f;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
vl4ipkck4l;X;;;X;;X;;;;;;;;;;;;;;;;;;;;;;
vmco3slkt4;;;;;X;;X;;;;X;;;X;;X;;X;;;;;;;;X;X;
vntfqyj4ll;;;;;;;;;;X;;X;;;X;;;;;;;;;;;;;
vp6xzlvo2a;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;
vrw2ltze2q;X;;;;;X;;;;;;;;X;X;;X;;;;;;;;;;X;
vsxo0uzslv;;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;
vvdfbdwgk3;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
vvfukvfj3l;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
vwhfjr0kvj;;;;;;;;;;X;;X;;;X;;;X;X;;;;;;;;;X
vw7qu0hcjk;;X;X;X;;;;;X;;X;;;X;;;;;;;X;;;;;;X;
v0ne2674qf;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;
v1hf5hrtbz;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
v3lewlha2h;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
v4wh7tnvwm;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
wa08cxzlo1;;;;X;;;X;;;X;;;;X;;;X;;;X;;;X;;;X;;
wej2q5waxq;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;
wfjdph5smx;;;;;;;;;;X;;;;;;;;;;;;X;X;;;;;
wi7mpzej9p;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
wjwa9fr388;X;X;;;;;;;;X;;;;;;X;X;X;;;X;X;;;;;;
wj6chkn7vb;;;;;;;;;;X;;;;;;;X;;;;;X;;;;X;;
wmau3yo012;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X
wmyxkae8ta;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
wm9anzedmn;;;;X;;;;;;;X;;X;;;;;;;;;;;;X;;;
wnkq3wd0cr;;;;;X;;;;;X;;;;;;;;;;X;;;;;;;;
wpmehhbhsd;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
wpp70t8kif;X;X;;X;;;;;;;X;;X;;X;X;;;;;;;;;X;;;
wpua7wjs01;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
wsq39vynoz;;;X;;;X;;;;;;;;;;X;;;;;;;;;X;;;
wxlgg3sszn;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;
wyk10qqehi;;;;;;;;;;;;X;;X;;;;;;;;;;X;X;;X;X
wy9qtlb0xc;X;;;X;;;;;;;;;;;;;;;X;;;;;;;X;;
wzlvs10rgm;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;
wznahulw2y;;;;;;;;;;;X;;;;;;X;;X;;;X;X;;;;;
w1a5qdxob7;X;;;;;;;;;;;;;;X;;;;;;;;;X;;;;
w1vkntorum;;;;;;;;;;;;X;X;;X;;;;;;;X;;;;;;
w3l6l6ykh2;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
w4djagbfal;;;;;;X;;;;;;;;;X;;X;;;;;;;;;;;X
w4gh46ofvr;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
w5yruw1jtp;X;;;;;X;;;X;;;;X;;X;;;;;X;;;;;;;X;X
w6w89btgxg;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
w7ktqkwf6d;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
w8f0uzce5u;X;;;;;;;;;;;;;;;;;;;;;;;X;;X;;
w8rfbmlab4;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;X
w8umhqtqnr;;;;;;;;;;X;;X;X;;;;;;X;;;;;;;;;
xbvb7rpmzd;X;;;;;X;;;;X;X;;X;;;;X;;;;;X;X;;;;;
xdgy36bvih;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
xfg9w4t5je;;;X;;X;;;;;;X;;;X;;X;;X;;;;;;;;X;X;
xgfn152rav;;;;;X;;X;;;;X;;;;;;;;;;;;;;;;;
xlq4cs0icx;X;;;;;;;;;X;X;;;X;;X;;;;X;X;;X;;;;;
xmaew4ygrl;X;;X;;;X;;;;;;;;;;;;;;;;;X;;;;;
xmb7vptkib;;;;;;;;;;;;;;;X;;X;;;;;;;X;;X;;X
xs7lcmi13a;;X;;;;;;;;;;;;X;X;;X;;;;;;;;X;X;;
xxqmwdafr7;;;;;;;;;;;;X;;;X;;;;;;;;;;;X;;
xylgfyxnic;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
x0fjfnunz2;;X;;;;;X;;;;;;X;;;;;;;;;;;;X;;;
x3g3riywjp;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
x433ad2tuu;;X;;X;;X;X;;X;;X;;;;;;;;;;;;;;X;;;
x5rehzlauh;;;;;;;;;;X;;;;;;;;;X;;;;;;;;;X
x50y6ro4pk;;;;;X;;;;;;;;;;;;;;;;;;;;;;;
x7k7twukw3;X;;X;X;;;;;;;X;;;;;X;;;;;;;X;;;;;X
x7v7h0taqj;;X;;X;;X;;X;X;;X;;;X;;;;;;X;;;;;;;;
x898t5q2z1;;;;;;;X;;;X;X;;;X;;;X;;;X;;;;;;;;
x9ex0593fv;;;;;;;;;;;;X;X;;;;;;;;;;;;;;X;
x9ff9qqot8;;X;;X;X;;X;;X;;X;;;;;;;;;;;;;;;;X;
x9i3ym8sih;X;;X;;;X;;;;;;;;;;;;;;;;;;;X;;;
x9pmljxsv8;;;;;;;X;;;;;;;;;;;X;;;;;;;;;;
x92qlmr1aq;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;
yapc557vad;;;X;;;;;;;X;;;;;;;;;;;;;;;;;;
ybhr3khzb9;;;X;X;;;X;;;;;;;X;;;;;;;;;;;;;;
yeiub9tldm;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
yfx5g9vb14;X;;;X;;;;;;;;;;;X;;;;;;;;;;;;;
yf586zfc03;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
yg9ar7ixq6;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
ykefhwebis;;X;;;;;;;X;;X;X;;;;;;;;X;X;;;;;;;
ym15p4ghtk;;;X;;X;;;X;;;;;;;;;;;;;;;;;;;;
yowo07wjhs;;;;;;;X;;;X;X;X;;X;X;;;;;;;;;;;;;
yqbby5fmm8;;;X;;;;X;;;X;X;X;;;X;X;;;;;;;;;;;;
yqmg2clke5;;;;X;;X;;X;;;;;;;;;;;;;;;;;;;;
yuktmpu61x;;;;X;;X;;;;X;;;;X;;;;;;X;;;X;;;X;;
yvkzyspyk3;;;;;;;;;;;X;;;;;;X;;;;;X;;;;;;
yv0kbhoo5h;;;X;X;X;;X;;;;X;;;X;;X;;;;;;;;;;;X;
ywysflo8m8;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X
yxb9sdatyk;;;;;X;;;;;;X;;;X;;X;;;;;;;;;;;X;
yx7m4c8wcj;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;
yykqvpe5kt;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
yytxme6fzm;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;
yyzkw9td5h;X;;;;;;;;;;X;X;;X;;;;;;;;;;;;X;;
yy2y5v54s1;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
y0bb91ipcv;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;
y03tqxksaa;;;X;;;;;;;;X;X;;;X;;;;X;X;;;;;;;;
y05smpb2jz;;;X;;;;;;;;;;;;;;X;;;;;;X;;;;;
y3i5ptdbwg;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
y4k8wjw3au;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
y45fdam2xm;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
y6ivy164qs;X;;X;;;X;;;;;;;;;;;;;;;;;;;;;;
y6lzhut0vr;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
y7oxse83ib;X;;;;;;;;X;;;;;X;;;X;;X;;;;;;;;;
zahhvo0wea;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
zgw5xijbs6;;;X;;;;;;X;;;;;X;X;;;;;;;;;X;;;;
zg1hyot8my;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
zhhudaiu4o;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
zhlmaojulc;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X
zk1cidm3b4;X;;;;;;;;X;;;;;X;;;X;;;;;X;X;;;;X;
zk36ukfup8;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;
zk8o5iibam;;;;;;;;;X;;X;;;X;;X;X;;;;;;;;;;;
zlfxo0kd8u;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
zl4lfw63wp;;X;X;;X;;;;;;X;;;;;;;;;X;;;;;;;X;
zmq3kldq3y;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;
zobs3ldysg;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
zqrqnaacxt;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
zr7y4o8t7r;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X
zr91cstlnn;;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;
ztehzf9452;;;;X;X;;;;;;;;;;;X;;;;;;;;;;;X;
z0v92zptzl;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;
z0yz3cn86p;;;X;;X;;X;X;;;X;X;;X;;;;;;;;;;;;;;
z02akzupu7;;;;X;;;;;;;X;;;;;;;;;;;;;;;X;;X
z1edn1m1h1;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
z18efe3qwf;;;;;;;;;;;X;;;X;;X;;;;;;;;;;;;
