Voter ID;Jan Sedláček (stud PrF MU);David Vyhlídal (stud PrF MU);Šárka Vyskočilová (stud PrF MU);Kryštof Zika (stud PrF MU);Kateřina Audyová (stud PrF MU);Matyáš Ličeník (stud PrF MU);Barbora Bulánková (stud PrF MU);Lucie Králová (stud PrF MU);Tomáš Neugebauer (stud PrF MU);Martin Plášek (stud PrF MU);Karolína Šandorová (stud PrF MU);Jan Zubík (stud PrF MU);Roman Karchut (stud PrF MU);Nevenka Petříčková (stud PrF MU);Martin Zigmund (stud PrF MU, ESF MU);Tereza Vodičková (stud PrF MU);Robin Kašpar (stud PrF MU);Boris Šabík (stud PrF MU);Adam Jelínek (stud PrF MU);Adam Jasiok (stud PrF MU);Jan Dzuba (stud PrF MU);Jakub Nováček (stud PrF MU);Jan Schraml (stud PrF MU);Dominik Kalouda (stud PrF MU);Albert Jilg (stud PrF MU);Vítek Souchop (stud PrF MU);Kristýna Bohlová (stud PrF MU);Tomáš Pospíšil (stud PrF MU)
dbc4jsbnla;;;;;;;;;;;;;;;;;;X;;X;X;;;;;X;;
dczb4ua7dq;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;
ddxqa3y1d4;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
deqcudq8do;;;;;X;;;;;;X;;;;;;;;;;;;;;;;;
dflmr72h9t;;;;X;;;X;X;X;;;;;;;;;;;;;;;;;;;
dgaodc8oe0;;;;X;;;X;;;X;;;;;;;;;;;;;;;;;;
dgc581vzg7;;;;X;X;;;;X;;;;;X;;;;;;;;;;;;;;
dhi9yf14cw;X;;;X;;;;;;;;;;X;X;;;;;X;;;X;;X;;X;
dhy5mg8o45;;;;;;;X;;X;;X;;;X;;;X;X;;;X;;;X;;;;
dj3eyprt58;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
dopxtr00l7;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
dqm5lgd83i;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
dth838yxqd;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
dtv1r4rg5w;X;;X;X;;X;;;;;;;;;X;;;;;X;;;X;;;;;X
dur68uaxvk;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
dut8jo66hw;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;
du42fupaay;;;;;;;;;;;;;;;;;X;;;;;X;;;X;;;X
dvla7wmswu;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;
dyucgxuq1i;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;
d4k0dpymaf;;;;;;;X;;;;X;X;;;;;;X;;X;X;X;X;;;;;
d5pgedou37;X;;;;;;;;;;;;;;;;;;;;;;;X;X;;;
d7hiowppb2;;;;;;;;;;;;;;;;;;;;X;;;;;;;;
